XAUUSD_D1_2020-01-01_2026-04-06 | 1615 bars | 2026-04-08 01:54 BJT
时间(BJT)|开|高|低|收
2019-12-31|1514.17|1525.26|1514.17|1516.91
2020-01-02|1518.16|1531.37|1517.23|1529.07
2020-01-03|1529.14|1553.49|1527.98|1551.51
2020-01-06|1560.08|1587.91|1559.57|1565.64
2020-01-07|1564.26|1577.35|1555.35|1574.01
2020-01-08|1576.93|1611.39|1552.25|1556.27
2020-01-09|1556.51|1561.33|1540.26|1552.29
2020-01-10|1551.43|1563.11|1545.74|1561.91
2020-01-13|1562.00|1562.00|1546.49|1547.82
2020-01-14|1547.63|1548.88|1535.94|1546.33
2020-01-15|1546.27|1558.18|1545.96|1556.15
2020-01-16|1556.31|1558.08|1548.04|1552.41
2020-01-17|1552.52|1561.25|1549.42|1556.96
2020-01-20|1557.13|1562.77|1556.37|1560.62
2020-01-21|1560.78|1568.60|1546.34|1558.10
2020-01-22|1558.53|1559.24|1550.20|1558.97
2020-01-23|1558.93|1567.95|1551.94|1562.71
2020-01-24|1562.44|1575.83|1556.55|1570.95
2020-01-27|1580.72|1588.48|1575.89|1581.89
2020-01-28|1581.50|1583.05|1565.55|1567.41
2020-01-29|1566.75|1578.03|1563.39|1576.90
2020-01-30|1576.95|1585.98|1572.40|1574.16
2020-01-31|1573.73|1590.47|1570.95|1588.96
2020-02-03|1593.24|1593.34|1569.65|1576.61
2020-02-04|1577.13|1579.61|1549.07|1552.87
2020-02-05|1552.83|1562.39|1547.52|1556.18
2020-02-06|1556.13|1568.24|1552.53|1566.66
2020-02-07|1566.58|1574.07|1560.39|1570.11
2020-02-10|1572.07|1577.02|1568.01|1572.11
2020-02-11|1571.94|1574.04|1562.14|1567.80
2020-02-12|1567.80|1570.49|1561.99|1565.80
2020-02-13|1566.14|1578.31|1565.61|1576.12
2020-02-14|1575.92|1584.99|1573.08|1583.83
2020-02-17|1582.22|1583.77|1578.88|1579.35
2020-02-18|1584.48|1605.10|1582.46|1601.34
2020-02-19|1601.43|1612.95|1599.51|1611.61
2020-02-20|1612.16|1623.70|1603.92|1619.50
2020-02-21|1620.33|1649.25|1618.99|1643.80
2020-02-24|1653.37|1689.34|1650.91|1658.72
